"集水區ID","說明","Area.ha.","CN加權","2年","5年","10年"
"A","A區","2.58","90","0.578281928860888","0.679047933474379","0.70159253404221"
"B","B區","0.08","90","0.0179313399381358","0.0210558752007374","0.0217549313273278"
"C","C區","2.66","70","0.318367894912904","0.471845941312646","0.531481590253194"
"D","D區","2.66","79","0.445416313747174","0.585263123952476","0.630239221207543"
