"t","A_2y","B_2y","C_2y","D_2y","A_5y","B_5y","C_5y","D_5y","A_10y","B_10y","C_10y","D_10y"
"2.83333333333333","0","0","0","0","0.00308357071544343","9.561485851393e-05","0","0","0.00917924901931585","0.000284628189703603","0","0"
"3","0","0","0","0","0.00387859129288507","0.000120266640190226","0","0","0.0103593824546553","0.00032122143858738","0","0"
"3.16666666666667","0","0","0","0","0.00466256042740798","0.000144575741790545","0","0","0.011507335971759","0.000356816862617537","0","0"
"3.33333333333333","0","0","0","0","0.00543677865141136","0.000168582490332602","0","0","0.0126265908990189","0.000391522409800774","0","1.62724342601997e-05"
"3.5","5.22152690466109e-06","1.61909720023955e-07","0","0","0.00620267193591231","0.000192331101933015","0","0","0.0137204169446599","0.000425439466294377","0","0.000417424983321421"
"3.66666666666667","0.000158896766199986","4.92708761739961e-06","0","0","0.00696164195693226","0.000215865039378682","0","0","0.0147919003275399","0.000458663728677409","0","0.00112848787202866"
"3.83333333333333","0.000437613301004044","1.35695042509221e-05","0","0","0.00771507368699584","0.000239227247521927","0","0","0.0158439694554457","0.000491286000175469","0","0.00193904622506103"
"4","0.000758489004980727","2.35191504370675e-05","0","0","0.00846434300049326","0.000262460389105552","0","0","0.0168794185657338","0.0005233929237026","0","0.00277489717622279"
"4.16666666666667","0.00109264889114066","3.38806977922919e-05","0","0","0.00921082438124999","0.000285607083757146","0","0","0.0179009296995041","0.000555067663229919","0","0.00361944607485839"
"4.33333333333333","0.00143380252536049","4.44591016709214e-05","0","0","0.00995589882563977","0.000308710153046781","0","4.03686890554621e-08","0.0189110933463095","0.000586390543930758","0","0.0044692359942165"
"4.5","0.00178078898233096","5.5218367463097e-05","0","0","0.010700962041681","0.000331812874722528","0","0.000181045848992837","0.0199124280707878","0.000617439660757632","0","0.0053245269172252"
"4.66666666666667","0.00213386749289342","6.61665342516497e-05","0","0","0.0114474330540487","0.000354959249532525","0","0.000607863776771905","0.0209073994146866","0.000648291464550876","0","0.00618643251388207"
"4.83333333333333","0.00249364257203365","7.73223466929236e-05","0","0","0.0121967633372117","0.000378194284423081","0","0.0011268040270329","0.0218984383571687","0.000679021334450726","0","0.00705612745284535"
