"時間(hr)","降雨強度(mm/hr)","累積降雨(mm)","單位時間降雨(mm)","單位時間降雨百分比(%)","設計雨型(%)","設計雨型(mm)","P","Ia","Fa","Pe","超滲降雨RE (cm)","降雨逕流(cms)"
0.166666666666667,143.779578242957,23.9632630404928,23.9632630404928,0.10252786741722,0.00233477184183099,0.471623912049861,0.471623912049861,0.471623912049861,0,0,0,0
0.333333333333333,116.139359789677,38.7131199298923,14.7498568893995,0.0631079068415645,0.00235763826477996,0.476242929485551,0.947866841535412,0.947866841535412,0,0,0,0
0.5,98.7808802180308,49.3904401090154,10.6773201791231,0.0456833806750981,0.00238106843840516,0.480975824557842,1.42884266609325,1.42884266609325,0,0,0,0
0.666666666666667,86.7012248843274,57.8008165895516,8.41037648053618,0.0359841630611082,0.00240508487026365,0.485827143793257,1.91466980988651,1.91466980988651,0,0,0,0
0.833333333333333,77.7289661146618,64.7741384288848,6.97332183933322,0.0298356620211794,0.0024297113199088,0.490801686621577,2.40547149650809,2.40547149650809,0,0,0,0
1,70.7567952766407,70.7567952766407,5.98265684775593,0.0255970585914342,0.00245497288875094,0.495904523527689,2.90137602003578,2.90137602003578,0,0,0,0
1.16666666666667,65.155974592639,76.0153036914122,5.25850841477146,0.0224987578966598,0.00248089611786915,0.501141015809568,3.40251703584535,3.40251703584535,0,0,0,0
1.33333333333333,60.540832634353,80.7211101791373,4.70580648772513,0.0201339985647737,0.00250750909460139,0.506516837109481,3.90903387295483,3.90903387295483,0,0,0,0
1.5,56.6605752748849,84.9908629123274,4.26975273319005,0.0182683235331134,0.0025348415688614,0.512037996910003,4.42107186986483,4.42107186986483,0,0,0,0
1.66666666666667,53.3444821776129,88.9074702960216,3.9166073836942,0.0167573757331024,0.00256292508023715,0.517710866207905,4.93878273607273,4.93878273607273,0,0,0,0
1.83333333333333,50.4719775081551,92.5319587649511,3.6244884689295,0.015507532199171,0.00259179309706963,0.523542205608066,5.4623249416808,5.4623249416808,0,0,0,0
2,47.9552770172501,95.9105540345001,3.37859526954905,0.0144554674072321,0.00262148116885455,0.529539196108618,5.99186413778942,5.99186413778942,0,0,0,0
2.16666666666667,45.7288233653989,99.0791172916976,3.1685632571975,0.0135568362700884,0.00265202709349943,0.535709472886885,6.5275736106763,6.5275736106763,0,0,0,0
2.33333333333333,43.7425873401421,102.066037126998,2.98691983530064,0.0127796669569618,0.00268347110116182,0.542061162434688,7.06963477311099,7.06963477311099,0,0,0,0
2.5,41.9576716725976,104.894179181494,2.82814205449579,0.0121003292878116,0.00271585605663703,0.54860292344068,7.61823769655167,7.61823769655167,0,0,0,0
2.66666666666667,40.3433395797807,107.582238879415,2.68805969792109,0.0115009808076771,0.00274922768253209,0.555343991871481,8.17358168842315,8.17358168842315,0,0,0,0
2.83333333333333,38.8749542322332,110.145703657994,2.56346477857882,0.0109678960040927,0.00278363480578373,0.562294230768313,8.73587591919147,8.73587591919147,0,0,0,0
3,37.5325174941288,112.597552482386,2.45184882439246,0.0104903422697315,0.00281912963043404,0.569464185347677,9.30534010453914,9.30534010453914,0,0,0,0
3.16666666666667,36.2996129133077,114.948774225474,2.35122174308798,0.01005980490789,0.00285576804002574,0.5768651440852,9.88220524862434,9.88220524862434,0,0,0,0
3.33333333333333,35.1626275259111,117.208758419704,2.25998419422912,0.00966944107066694,0.00289360993345626,0.584509206558164,10.4667144551825,10.4667144551825,0,0,0,0
3.5,34.1101698076283,119.385594326699,2.17683590699545,0.00931368749257296,0.00293271959872909,0.592409358943276,11.0591238141258,11.0591238141258,0,0,0,0
3.66666666666667,33.1326280895571,121.486302995043,2.10070866834363,0.00898797377745227,0.00297316612973384,0.600579558206235,11.659703372332,11.659703372332,0,0,0,0
3.83333333333333,32.2218311913249,123.517019566746,2.03071657170297,0.00868850953535383,0.00301502389198078,0.609034826180117,12.2687381985121,12.2687381985121,0,0,0,0
4,31.3707845300723,125.483138120289,1.96611855354381,0.00841212409360301,0.00305837304419887,0.617791354928171,12.8865295534403,12.8865295534403,0,0,0,0
4.16666666666667,30.573462704908,127.389427937117,1.90628981682737,0.00815614423078393,0.0031033001238262,0.626866625012892,13.5133961784532,13.5133961784532,0,0,0,0
4.33333333333333,29.8246448565934,129.240127711905,1.85069977478808,0.00791829980824888,0.00314989870579198,0.636279538569981,14.1496757170232,14.1496757170232,0,0,0,0
4.5,29.1197827897902,131.039022554056,1.79889484215124,0.00769665014159151,0.0031982701456036,0.646050569411928,14.7957262864351,14.7957262864351,0,0,0,0
4.66666666666667,28.4548944488703,132.789507428061,1.75048487400542,0.00748952597877031,0.00324852441970138,0.656201932779678,15.4519282192148,15.4519282192148,0,0,0,0
4.83333333333333,27.8264772017377,134.494639808399,1.70513238033763,0.00729548335402616,0.00330078107837953,0.666757777832665,16.1186859970475,16.1186859970475,0,0,0,0
5,27.2314367366067,136.157183683033,1.6625438746342,0.00711326657249349,0.00335517032940617,0.677744406540046,16.7964304035875,16.7964304035875,0,0,0,0
5.16666666666667,26.6670283668586,137.779646562103,1.6224628790697,0.00694177828259563,0.00341183427390627,0.689190523329067,17.4856209269166,17.4856209269166,0,0,0,0
5.33333333333333,26.130808272987,139.364310789264,1.58466422716114,0.00678005509970181,0.00347092832026268,0.70112752069306,18.1867484476096,18.1867484476096,0,0,0,0
5.5,25.6205927600684,140.913260180376,1.54894939111185,0.00662724761396407,0.00353262280691644,0.71358980699712,18.9003382546067,18.9003382546067,0,0,0,0
5.66666666666667,25.1344240244317,142.428402805113,1.51514262473674,0.00648260388765455,0.0035971048712553,0.726615183993571,19.6269534386003,19.6269534386003,0,0,0,0
5.83333333333333,24.6705412397825,143.911490565398,1.48308776028523,0.00634545575023237,0.00366458060959571,0.740245283138333,20.3671987217386,20.3671987217386,0,0,0,0
6,24.2273560164215,145.364136098529,1.45264553313095,0.00621520735191179,0.00373527758296362,0.754526071758652,21.1217247934973,21.1217247934973,0,0,0,0
6.16666666666667,23.8034314757626,146.787827433869,1.42369133534029,0.00609132555220714,0.00380944773551471,0.769508442573971,21.8912332360713,21.7714285714286,0.119672956442053,0.000131708200647493,1.31708200647493e-05,0
6.33333333333333,23.3974643295292,148.183940753685,1.39611331981601,0.00597333180842834,0.00388737080770411,0.78524890315623,22.6764821392275,21.7714285714286,0.89759087128533,0.00746269651360065,0.000733098831295316,3.95348218165655e-06
6.5,23.0082694686677,149.55375154634,1.36981079265462,0.00586079529731197,0.00396935834563347,0.801810385817961,23.4782925250455,21.7714285714286,1.68051374580339,0.0263502078134994,0.00188875112998987,0.000221566595055788
6.66666666666667,22.6347666585112,150.898444390074,1.34469284373452,0.00575332705593263,0.00405575843259499,0.819263203384187,24.2975557284296,21.7714285714286,2.46883562289072,0.0572915341103561,0.00309413262968568,0.000651482593088999
6.83333333333333,22.2759690095574,152.219121565309,1.32067717523447,0.00565057496946807,0.00414696130039844,0.837686182680485,25.1352419111101,21.7714285714286,3.26298332924774,0.100830010433826,0.00435384763234694,0.00116526264849204
7,21.9309729515297,153.516810660708,1.29768909539877,0.00555221946597974,0.00424340601881346,0.857168015800319,25.9924099269105,21.7714285714286,4.0634205210819,0.157560834399979,0.00567308239661539,0.00171694642937106
7.16666666666667,21.5989494853408,154.792471311609,1.2756606509015,0.00545796980419508,0.00434558851452196,0.877808879933435,26.8702188068439,21.7714285714286,4.87065238283286,0.228137852582459,0.00705770181824796,0.00229766091709172
7.33333333333333,21.2791365255792,156.047001187581,1.25452987597205,0.00536756086085842,0.00445407124060057,0.899722390601316,27.7699411974452,21.7714285714286,5.68523111129177,0.313281514724861,0.00851436621424018,0.002907183651353
7.5,20.97083217705,157.281241327875,1.23424014029393,0.00528075034068755,0.00456949490974834,0.923037971769165,28.6929791692144,21.7714285714286,6.50776235015491,0.41378824763089,0.0100506732906029,0.00354782174727024
7.66666666666667,20.6733888141745,158.495980908671,1.21473958079633,0.00519731634526909,0.00469259282763252,0.947903751181769,29.6408829203961,21.7714285714286,7.33891278232587,0.530541566641701,0.0116753319010811,0.00422281444652129
7.83333333333333,20.3862078528051,159.69196151364,1.1959806049689,0.0051170552479691,0.00482420852894786,0.974490122847468,30.6153730432436,21.7714285714286,8.17941914247847,0.664525329336566,0.0133983762694865,0.00493586824537563
8,20.1087351211271,160.869880969017,1.1779194553765,0.00503977983069045,0.00496531764546036,1.00299416438299,31.6183672076266,21.7714285714286,9.03009898514956,0.81683965104847,0.0152314321711904,0.00569124576945635
8.16666666666667,19.8404567504987,162.030396795739,1.16051582672227,0.00496531764546036,0.0051170552479691,1.03364516008976,32.6520123677164,21.7714285714286,9.89186364052017,0.988720155767616,0.0171880504719146,0.00649387591788184
8.33333333333333,19.5808955188705,163.174129323921,1.14373252818146,0.00489350956971088,0.00528075034068755,1.06671156881888,33.7187239365352,21.7714285714286,10.7657339204973,1.18156144460933,0.0192841288841709,0.00734949149673527
8.5,19.3296075892681,164.301664508778,1.12753518485795,0.00482420852894786,0.00545796980419508,1.10250990044741,34.8212338369826,21.7714285714286,11.6528593154555,1.39694595009861,0.0215384505489284,0.0082648027392879
8.66666666666667,19.0861795940696,165.413556481936,1.11189197315784,0.00475727836453502,0.00565057496946807,1.14141614383255,35.9626499808152,21.7714285714286,12.5545416673137,1.63667974207288,0.023973379197427,0.00924771818693759
8.83333333333333,18.8502260227454,166.510329867585,1.09677338564833,0.00469259282763252,0.00586079529731197,1.18388065005702,37.1465306308722,21.7714285714286,13.4722646479726,1.902837411471,0.0266157669398117,0.0103076288134549
9,18.6213868765789,167.59248188921,1.08215202162555,0.00463003468313216,0.00609132555220714,1.23044776154584,38.3769783924181,21.7714285714286,14.4077308600592,2.19781896093025,0.029498154945925,0.0114557776901574
9.16666666666667,18.39932555884,168.660484289366,1.06800240015625,0.00456949490974834,0.00634545575023237,1.28178206154694,39.658760453965,21.7714285714286,15.362909081991,2.52442280054546,0.032660383961521,0.0127057469813105
9.33333333333333,18.1837269730913,169.714785082185,1.05430079281871,0.00451087198439247,0.00662724761396407,1.33870401802074,40.9974644719857,21.7714285714286,16.340095217052,2.88594068350518,0.0361517882959726,0.0140741083615654
