"時間(hr)","降雨強度(mm/hr)","累積降雨(mm)","單位時間降雨(mm)","單位時間降雨百分比(%)","設計雨型(%)","設計雨型(mm)","P","Ia","Fa","Pe","超滲降雨RE (cm)","降雨逕流(cms)"
9,18.6213868765789,167.59248188921,1.08215202162555,0.00463003468313216,0.00609132555220714,1.23044776154584,38.3769783924181,13.5037974683544,18.1769950795977,6.69618584446591,0.0564458313416157,0.0850563031458849
9.16666666666667,18.39932555884,168.660484289366,1.06800240015625,0.00456949490974834,0.00634545575023237,1.28178206154694,39.658760453965,13.5037974683544,18.8521633664224,7.30279961918813,0.0606613774722216,0.0912369392497159
9.33333333333333,18.1837269730913,169.714785082185,1.05430079281871,0.00451087198439247,0.00662724761396407,1.33870401802074,40.9974644719857,13.5037974683544,19.5378664788022,7.95580052482908,0.0653000905640948,0.0979666343439347
9.5,17.9742958058881,170.755810155937,1.0410250737516,0.00445407124060057,0.00694177828259563,1.40223921308432,42.3997036850701,13.5037974683544,20.2356944458163,8.66021177089936,0.0704411246070279,0.10533818125435
9.66666666666667,17.7707549731951,171.783964740886,1.02815458494931,0.00439900429219349,0.00729548335402616,1.47368763751328,43.8733913225833,13.5037974683544,20.947532367567,9.4220614866619,0.0761849715762544,0.113466812879817
9.83333333333333,17.5728442124646,172.799634755902,1.01567001501627,0.00434558851452196,0.00769665014159151,1.55472332860149,45.4281146511848,13.5037974683544,21.675643001475,10.2486741813554,0.082661269469353,0.122497543257443
10,17.3803188045733,173.803188045733,1.00355328983028,0.00429374657666479,0.00815614423078393,1.64754113461835,47.0756557858032,13.5037974683544,22.4227808363262,11.1490774811225,0.0900403299767095,0.132615620125089
10.1666666666667,17.1929484117541,174.7949755195,0.991787473766948,0.00424340601881346,0.00868850953535383,1.75507892614147,48.8307347119447,13.5037974683544,23.192353398445,12.1345838451452,0.0985506364022687,0.144061754400862
10.3333333333333,17.0105160193362,175.775332199807,0.980356680307722,0.00419449886980455,0.00931368749257296,1.88136487349974,50.7120995854444,13.5037974683544,23.9886556086174,13.2196465084726,0.108506266332734,0.157154899642991
10.5,16.8328169705533,176.74457819081,0.969245991002651,0.00414696130039844,0.01005980490789,2.03208059139379,52.7441801768382,13.5037974683544,24.8172212156478,14.4231614928359,0.120351498436335,0.172327368837299
10.6666666666667,16.6596580849404,177.703019572697,0.958441381887496,0.0041007333084517,0.0109678960040927,2.21551499282672,54.9596951696649,13.5037974683544,25.6853698999544,15.7705278013561,0.134736630852018,0.190180905996868
10.8333333333333,16.4908568519318,178.650949229261,0.947929656563275,0.00405575843259499,0.0121003292878116,2.44426651613794,57.4039616858028,13.5037974683544,26.6030982162359,17.2970660012125,0.152653819985642,0.211580002252387
11,16.3262406922274,179.588647614501,0.937698385240566,0.00401198349143143,0.0135568362700884,2.73848092655785,60.1424426123607,13.5037974683544,27.5846128072765,19.0540323367298,0.175696633551729,0.237815091832184
11.1666666666667,16.1656462803257,180.516383463637,0.927735849135729,0.00396935834563347,0.015507532199171,3.13252150423254,63.2749641165932,13.5037974683544,28.6511583162715,21.1200083319673,0.206597599523749,0.270905776070432
11.3333333333333,16.0089189223511,181.434414453313,0.918030989675657,0.00392783568061311,0.0182683235331134,3.69020135368892,66.9651654702821,13.5037974683544,29.8367236493983,23.6246443525294,0.250463602056212,0.314208582953494
11.5,15.8559119839428,182.342987815342,0.908573362029188,0.00388737080770411,0.0224987578966598,4.54474909512529,71.5099145654074,13.5037974683544,31.2010438352592,26.8050732617938,0.318042890926437,0.373760466746459
11.6666666666667,15.7064863635329,183.242340907883,0.899353092541418,0.00384792148204275,0.0298356620211794,6.02680372827823,77.5367182936857,13.5037974683544,32.864882242304,31.1680385830273,0.436296532123349,0.461668927469561
11.8333333333333,15.5605100068371,184.132701747573,0.890360839689293,0.00380944773551471,0.0456833806750981,9.22804289636981,86.7647611900555,13.5037974683544,35.1364384261033,38.1245252955977,0.695648671257048,0.606466772470317
12,15.4178574588163,185.014289505796,0.881587758223333,0.00377191172333379,0.10252786741722,20.7106292182785,107.475390408334,13.5037974683544,39.289392502837,54.6822004371425,1.65576751415448,0.896147657944575
12.1666666666667,15.2784094497526,185.88731497199,0.873025466194179,0.00373527758296362,0.0631079068415645,12.747797181996,120.22318759033,13.5037974683544,41.3547535029504,65.3646366190251,1.06824361818826,1.8144961968285
12.3333333333333,15.1420525124258,186.751980986584,0.864666014594434,0.00369951130422892,0.0359841630611082,7.26880093834385,127.491988528674,13.5037974683544,42.4025501198829,71.5856409404365,0.622100432141136,2.08169710051457
12.5,15.0086786276769,187.608482845962,0.856501859377232,0.00366458060959571,0.0255970585914342,5.17060583546971,132.662594364144,13.5037974683544,43.0982258126072,76.0605710831819,0.447493014274538,1.56993643244724
12.6666666666667,14.8781848959155,188.457008681597,0.848525835634831,0.00363045484369331,0.0201339985647737,4.06706771008428,136.729662074228,13.5037974683544,43.6189260551396,79.6069385507338,0.354636746755193,1.08811402819908
12.8333333333333,14.7504732323643,189.297739815341,0.840731133744924,0.0035971048712553,0.0167573757331024,3.38498989808669,140.114651972315,13.5037974683544,44.035665002896,82.5751895010641,0.296825095033032,0.79502469086528
13,14.6254500840501,190.130851092652,0.833111277310167,0.00356450298273282,0.0144554674072321,2.92000441626088,143.034656388575,13.5037974683544,44.3836551497486,85.1472037704724,0.257201426940824,0.621050721894805
13.1666666666667,14.5030261667383,190.956511195387,0.825660102735782,0.00353262280691644,0.0127796669569618,2.58149272530628,145.616149113882,13.5037974683544,44.6828250699336,87.4295265755937,0.22823228051213,0.51016781614756
13.3333333333333,14.3831162201768,191.774882935691,0.818371740303519,0.00350143922996029,0.0115009808076771,2.32319812315078,147.939347237032,13.5037974683544,44.9455224576178,89.4900273110601,0.206050073546649,0.437990987162929
13.5,14.2656387801708,192.586123532305,0.811240596614425,0.00347092832026268,0.0104903422697315,2.11904913848577,150.058396375518,13.5037974683544,45.1799196777316,91.3746792294321,0.188465191837196,0.387356946027865
13.6666666666667,14.150515966141,193.390384870593,0.804261338287887,0.00344106725872174,0.00966944107066694,1.95322709627472,152.011623471793,13.5037974683544,45.3917041127693,93.1161218906692,0.17414426612371,0.349248163318802
13.8333333333333,14.0376732829448,194.187813747403,0.797428876809477,0.00341183427390627,0.00898797377745227,1.81557070304536,153.827194174838,13.5037974683544,45.5849931156477,94.7384035908361,0.162228170016692,0.31929617262744
14,13.9270394358456,194.978552101839,0.790738354436144,0.0033832085817505,0.00841212409360301,1.69924906690781,155.526443241746,13.5037974683544,45.7628638264378,96.2597819469539,0.152137835611775,0.295016767853582
14.1666666666667,13.8185461576173,195.762737232912,0.784185131073087,0.00335517032940617,0.00791829980824888,1.59949656126627,157.125939803012,13.5037974683544,45.9276770241439,97.694465310514,0.143468336356013,0.274867028287678
14.3333333333333,13.7121280468573,196.540502004954,0.77776477204236,0.00332770054291002,0.00748952597877031,1.5128842477116,158.638824050724,13.5037974683544,46.0812840624698,99.0537425198998,0.135927720938575,0.257829526521166
14.5,13.6077224166642,197.31197504163,0.771473036676127,0.00330078107837953,0.00711326657249349,1.43687984764369,160.075703898368,13.5037974683544,46.2251640906163,100.346742339397,0.129299981949717,0.243202653318715
14.6666666666667,13.5052691529067,198.077280909298,0.765305867667166,0.00327439457644856,0.00678005509970181,1.36957113013977,161.445275028507,13.5037974683544,46.3605179504919,101.580959609661,0.12342172702641,0.230485217373084
14.8333333333333,13.4047105813765,198.836540290418,0.75925938112016,0.00324852441970138,0.00648260388765455,1.30948598530622,162.754761013814,13.5037974683544,46.4883341862064,102.762629359253,0.118166974959178,0.219308748657224
15,13.3059913431778,199.589870147667,0.753329857249355,0.0032231546928722,0.00621520735191179,1.25547188508618,164.0102328989,13.5037974683544,46.6094365486102,103.896998881935,0.113436952268239,0.209395766362505
15.1666666666667,13.2090582777588,200.337383879341,0.747513731674303,0.0031982701456036,0.00597333180842834,1.20661302530252,165.216845924202,13.5037974683544,46.7245188916102,104.988529564238,0.109153068230252,0.200532998232369
15.3333333333333,13.1138603130398,201.07919146661,0.741807587268113,0.00317385615756897,0.00575332705593263,1.16217206529839,166.379017989501,13.5037974683544,46.8341712757624,106.041049245384,0.105251968114619,0.192553609837339
15.5,13.0203483621373,201.815399613129,0.736208146519232,0.00314989870579198,0.00555221946597974,1.12154833212791,167.500566321629,13.5037974683544,46.9388998122679,107.057869041006,0.101681979562244,0.185325072366047
15.6666666666667,12.9284752262231,202.546111877496,0.730712264366986,0.0031263843339932,0.00536756086085842,1.0842472938934,168.584813615522,13.5037974683544,47.0391419679831,108.041874179184,0.0984005138178134,0.17874067403217
15.8333333333333,12.8381955030931,203.271428798975,0.725316921478765,0.0031033001238262,0.00519731634526909,1.04985790174436,169.634671517266,13.5037974683544,47.135278524288,108.995595524624,0.0953721345439419,0.172713452040457
16,12.7494655010569,203.99144801691,0.720019217935743,0.00308063366786163,0.00503977983069045,1.01803552579947,170.652707043066,13.5037974683544,47.2276430321174,109.921266542594,0.0925671017970132,0.167171771956568
16.1666666666667,12.6622431577861,204.706264384209,0.714816367298994,0.00305837304419887,0.00489350956971088,0.988488933081598,171.641195976147,13.5037974683544,47.3165293679148,110.820869139878,0.0899602597284229,0.162056052480339
16.3333333333333,12.5764879637901,205.415970075239,0.709705691029541,0.00303650679259192,0.00475727836453502,0.960970229636075,172.602166205784,13.5037974683544,47.4021978313292,111.6961709061,0.0875301766221625,0.157316301886643
16.5,12.4921608902106,206.120654688476,0.704684613236878,0.00301502389198078,0.00463003468313216,0.935267005992697,173.537433211776,13.5037974683544,47.4848801104457,112.548755632976,0.0852584726876202,0.152910239541136
16.6666666666667,12.4092243206526,206.820405344211,0.699750655734874,0.00299391373933784,0.00451087198439247,0.911196140847279,174.448629352624,13.5037974683544,47.5647833583926,113.380048525877,0.083129289290045,0.148801845707521
16.8333333333333,12.3276419867877,207.515306777593,0.694901433382682,0.00297316612973384,0.00439900429219349,0.888598867023084,175.337228219647,13.5037974683544,47.6420935659736,114.191337185319,0.0811288659442056,0.144960229296216
17,12.2473789074874,208.205441427286,0.69013464969251,0.00295277123754546,0.00429374657666479,0.867336808486288,176.204565028133,13.5037974683544,47.7169783716563,114.983789188122,0.07924520028036,0.141358734670457
17.1666666666667,12.1684013312605,208.890889519972,0.685448092686556,0.00293271959872909,0.00419449886980455,0.847288771700519,177.051853799833,13.5037974683544,47.7895894181767,115.758466913302,0.0774677725180098,0.137974230314514
17.3333333333333,12.090676681786,209.571729150958,0.680839630985531,0.00291300209408535,0.0041007333084517,0.828348128307244,177.880201928141,13.5037974683544,47.8600643410101,116.516340118776,0.0757873205473842,0.134786537351103
17.5,12.014173506347,210.248036361073,0.676307210115141,0.00289360993345626,0.00401198349143143,0.810420665269149,178.69062259341,13.5037974683544,47.9285284557989,117.258296669256,0.0741956550480325,0.131777966676005
17.6666666666667,11.9388614269862,210.919885210089,0.671848849015646,0.0028745346407912,0.00392783568061311,0.793422807483849,179.484045400894,13.5037974683544,47.9950961979628,117.985151734576,0.0726855065319967,0.128932941233598
17.8333333333333,11.8647110942148,211.58734784683,0.667462636741391,0.00285576804002574,0.00384792148204275,0.777280139372636,180.261325540266,13.5037974683544,48.0598723570352,118.697655714877,0.0712503980300269,0.126237685605029
18,11.7916941431205,212.250494576169,0.663146729338905,0.00283730224172443,0.00377191172333379,0.761926168113426,181.02325170838,13.5037974683544,48.1229531399719,119.396501100053,0.0698845385176739,0.123679969240181
18.1666666666667,11.7197831517281,212.90939392306,0.658899346891047,0.00281912963043404,0.00369951130422892,0.747301283454242,181.770552991834,13.5037974683544,48.1844270911819,120.082328432298,0.0685827332244159,0.121248892759888
18.3333333333333,11.6489516014789,213.564112693779,0.654718770719171,0.00280124285271294,0.00363045484369331,0.733351878426048,182.50390487026,13.5037974683544,48.2443758919063,120.755731509999,0.0673403077701622,0.118934709081015
18.5,11.5791738397032,214.21471603451,0.650603340730981,0.00278363480578373,0.00356450298273282,0.720029602512029,183.223934472772,13.5037974683544,48.3028750575017,121.417261946916,0.0661530436916678,0.116728672881146
18.6666666666667,11.5104250439688,214.861267487417,0.64655145290655,0.00276629862677711,0.00350143922996029,0.707290724451978,183.931225197224,13.5037974683544,48.3599945479326,122.067433180937,0.0650171234021087,0.114622913268985
18.8333333333333,11.4426811881946,215.503829044331,0.642561556914387,0.00274922768253209,0.00344106725872174,0.695095586261791,184.626320783486,13.5037974683544,48.4157993041611,122.70672401097,0.0639290830033275,0.112610325567045
19,11.3759190104305,216.14246119818,0.638632153849244,0.0027324155599171,0.0033832085817505,0.6834081335136,185.309728916999,13.5037974683544,48.4703497210042,123.335581727641,0.0628857716670567,0.11068447892153
19.1666666666667,11.3101159822051,216.777222992264,0.634761794083488,0.00271585605663703,0.00332770054291002,0.672195509667824,185.981924426667,13.5037974683544,48.5237020653076,123.954424893005,0.0618843165364396,0.108839537086965
19.3333333333333,11.245250279353,217.408172067492,0.630949075227761,0.00269954317250775,0.00327439457644856,0.661427704442609,186.64335213111,13.5037974683544,48.5759088468787,124.563645815877,0.0609220922871515,0.107070190231332
19.5,11.1813007542402,218.035364707684,0.627192640192391,0.00268347110116182,0.0032231546928722,0.651077247960184,187.29442937907,13.5037974683544,48.6270191484595,125.163612762256,0.0599966946379354,0.105371596002625
19.6666666666667,11.1182469093065,218.658855883028,0.623491175343872,0.00266763422216095,0.00317385615756897,0.641118943828932,187.935548322899,13.5037974683544,48.6770789200694,125.754671934475,0.0591059172219062,0.103739328412866
19.8333333333333,11.0560688718545,219.278699291781,0.619843408752757,0.00265202709349943,0.0031263843339932,0.631529635466627,188.567077958366,13.5037974683544,48.7261312422502,126.337149247761,0.058247731328575,0.102169333348432
20,10.9947473700153,219.894947400306,0.61624810852544,0.00263664444446668,0.00308063366786163,0.622288000908049,189.189365959274,13.5037974683544,48.7742165620893,126.91135192883,0.0574202681069025,0.100657889719416
20.1666666666667,10.9342637098276,220.507651481523,0.612704081216549,0.00262148116885455,0.00303650679259192,0.613374372103568,189.802740331377,13.5037974683544,48.8213729053392,127.477569957684,0.0566218028853669,0.0992015754261693
